          x1          x2          x3     azimuth         dip         iRx
  -8000.00000       0.00000000       1000.00000               0           0          65
  -7968.75000       0.00000000       1000.00000               0           0          66
  -7937.50000       0.00000000       1000.00000               0           0          67
  -7906.25000       0.00000000       1000.00000               0           0          68
  -7875.00000       0.00000000       1000.00000               0           0          69
  -7843.75000       0.00000000       1000.00000               0           0          70
  -7812.50000       0.00000000       1000.00000               0           0          71
  -7781.25000       0.00000000       1000.00000               0           0          72
  -7750.00000       0.00000000       1000.00000               0           0          73
  -7718.75000       0.00000000       1000.00000               0           0          74
  -7687.50000       0.00000000       1000.00000               0           0          75
  -7656.25000       0.00000000       1000.00000               0           0          76
  -7625.00000       0.00000000       1000.00000               0           0          77
  -7593.75000       0.00000000       1000.00000               0           0          78
  -7562.50000       0.00000000       1000.00000               0           0          79
  -7531.25000       0.00000000       1000.00000               0           0          80
  -7500.00000       0.00000000       1000.00000               0           0          81
  -7468.75000       0.00000000       1000.00000               0           0          82
  -7437.50000       0.00000000       1000.00000               0           0          83
  -7406.25000       0.00000000       1000.00000               0           0          84
  -7375.00000       0.00000000       1000.00000               0           0          85
  -7343.75000       0.00000000       1000.00000               0           0          86
  -7312.50000       0.00000000       1000.00000               0           0          87
  -7281.25000       0.00000000       1000.00000               0           0          88
  -7250.00000       0.00000000       1000.00000               0           0          89
  -7218.75000       0.00000000       1000.00000               0           0          90
  -7187.50000       0.00000000       1000.00000               0           0          91
  -7156.25000       0.00000000       1000.00000               0           0          92
  -7125.00000       0.00000000       1000.00000               0           0          93
  -7093.75000       0.00000000       1000.00000               0           0          94
  -7062.50000       0.00000000       1000.00000               0           0          95
  -7031.25000       0.00000000       1000.00000               0           0          96
  -7000.00000       0.00000000       1000.00000               0           0          97
  -6968.75000       0.00000000       1000.00000               0           0          98
  -6937.50000       0.00000000       1000.00000               0           0          99
  -6906.25000       0.00000000       1000.00000               0           0         100
  -6875.00000       0.00000000       1000.00000               0           0         101
  -6843.75000       0.00000000       1000.00000               0           0         102
  -6812.50000       0.00000000       1000.00000               0           0         103
  -6781.25000       0.00000000       1000.00000               0           0         104
  -6750.00000       0.00000000       1000.00000               0           0         105
  -6718.75000       0.00000000       1000.00000               0           0         106
  -6687.50000       0.00000000       1000.00000               0           0         107
  -6656.25000       0.00000000       1000.00000               0           0         108
  -6625.00000       0.00000000       1000.00000               0           0         109
  -6593.75000       0.00000000       1000.00000               0           0         110
  -6562.50000       0.00000000       1000.00000               0           0         111
  -6531.25000       0.00000000       1000.00000               0           0         112
  -6500.00000       0.00000000       1000.00000               0           0         113
  -6468.75000       0.00000000       1000.00000               0           0         114
  -6437.50000       0.00000000       1000.00000               0           0         115
  -6406.25000       0.00000000       1000.00000               0           0         116
  -6375.00000       0.00000000       1000.00000               0           0         117
  -6343.75000       0.00000000       1000.00000               0           0         118
  -6312.50000       0.00000000       1000.00000               0           0         119
  -6281.25000       0.00000000       1000.00000               0           0         120
  -6250.00000       0.00000000       1000.00000               0           0         121
